crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,framer,,false_ejection_rate,sharp_credibility minus mean,10,-0.024400000000000012,0.005146735750831691,-0.03400000000000003,-0.018000000000000016,"[-0.03400000000000003,-0.02200000000000002,-0.026000000000000023,-0.018000000000000016,-0.030000000000000027,-0.026000000000000023,-0.019999999999999907,-0.026000000000000023,-0.018000000000000016,-0.02400000000000002]",catch_outside
3,framer,sharp_credibility,incident_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,incident_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,framer,sharp_credibility,no_ejection_rate,catch_outside minus baseline,10,0.0014000000000000013,0.001349897115421107,0.0,0.0040000000000000036,"[0.0020000000000000018,0.0,0.0,0.0,0.0020000000000000018,0.0040000000000000036,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0]",
3,framer,,no_ejection_rate,sharp_credibility minus mean,10,0.024399999999999995,0.005146735750831678,0.01799999999999996,0.033999999999999975,"[0.033999999999999975,0.021999999999999964,0.026000000000000023,0.01799999999999996,0.030000000000000027,0.026000000000000023,0.020000000000000018,0.025999999999999968,0.018000000000000016,0.023999999999999966]",catch_outside
3,framer,soft_credibility,coalition_favorable_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,coalition_favorable_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,framer,soft_credibility,creator_ejection_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,creator_ejection_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,framer,soft_credibility,creator_survival,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,creator_survival,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
